ticker,name,marketcap,sector,info,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,1871.22,Industrials,,-0.0166,0.011200000000000002,-0.0555,,
FIVEPG,5th Planet Games,18.94,Communication services,LP,0.0748,-0.032400000000000005,-0.08710000000000001,-0.6767,-0.7015
AASB-ME,Aasen Sparebank,124.71,Equity certificates,LP,,,-0.023799999999999998,0.1586,0.18989999999999999
ASC,ABG Sundal Collier Holding,1652.62,Financials,,-0.0028000000000000004,0.0432,0.0663,-0.12390000000000001,-0.1334
ADE,Adevinta,68015.39,Communication services,,-0.006,0.0123,0.0216,,
ADSC-ME,ADS Crude Carriers,603.47,Energy,,0.0,0.023799999999999998,0.0,0.3381,0.2615
AEGA,Aega,55.41,Utilities,,0.0,-0.0171,0.0268,0.4316,0.3385
AFG,AF Gruppen,17624.10,Industrials,,0.0,-0.0285,-0.0313,0.3318,0.2832
AKA,Akastor,2390.17,Energy,,-0.0125,0.0046,-0.0462,-0.3361,-0.32270000000000004
AKER,Aker,36020.21,Financials,,-0.0187,0.0134,-0.0215,0.08539999999999999,0.0029
AKERBP,Aker BP,92801.25,Energy,,-0.01,0.050499999999999996,-0.0279,0.2709,0.0968
AKSO,Aker Solutions,5898.89,Energy,,-0.018000000000000002,0.013999999999999999,-0.040999999999999995,-0.4511,-0.5062
AKVA,AKVA Group,2443.25,Industrials,LP,-0.0027,-0.008100000000000001,-0.034,0.1112,0.1346
AMSC,American Shipping Company,1906.39,Industrials,,-0.009399999999999999,-0.0217,-0.08689999999999999,0.03,0.0888
ABT,Aqua Bio Technology,41.46,Materials,LP,0.0,-0.0217,0.08869999999999999,0.15380000000000002,0.04650000000000001
AQUA,AqualisBraemar,254.82,Energy,,0.0055000000000000005,0.0111,-0.08539999999999999,-0.1208,-0.1229
ARCHER,Archer,429.01,Energy,,0.0286,0.11630000000000001,-0.16760000000000003,-0.3372,-0.5085000000000001
ARCUS,Arcus,2420.48,Consumer staples,,-0.0028000000000000004,-0.0192,0.0818,-0.0904,-0.1013
AFK,Arendals Fossekompani,5648.70,Industrials,,-0.0077,-0.019,0.157,-0.1677,-0.1174
ASETEK,Asetek,710.45,Information technology,,-0.0138,-0.0222,-0.0467,-0.2956,-0.4291
ATEA,Atea,14392.71,Information technology,,0.010700000000000001,0.0279,0.0728,0.2613,0.2195
ATLA NOK,Atlantic Petroleum,30.51,Energy,,-0.1406,,0.0313,0.2132,-0.006
ASA-ME,Atlantic Sapphire,9265.89,Consumer staples,,0.0,0.044199999999999996,0.1304,0.8841,0.8056
AURG,Aurskog Sparebank,601.05,Equity certificates,LP,-0.0053,0.0054,0.0108,0.162,0.1681
AUSS,Austevoll Seafood,18537.54,Consumer staples,,0.0011,0.0552,-0.0487,-0.1093,-0.1611
AVANCE,Avance Gas Holding,3259.20,Energy,,0.0158,0.042699999999999995,0.3429,3.1505,1.7581
AVM,Avocet Mining PLC,32.51,Materials,,,,,,
AWDR,Awilco Drilling,799.62,Energy,,-0.0068000000000000005,-0.0233,-0.19949999999999998,-0.4768,-0.6062
ALNG,Awilco LNG,348.60,Energy,,0.0038,0.0194,-0.2735,-0.474,-0.5084000000000001
AXA,Axactor,2610.64,Financials,,-0.0118,-0.0059,-0.04,-0.0992,-0.1536
AGS,Axxis Geo Solutions,218.81,Energy,,-0.028300000000000002,-0.0182,-0.2731,-0.9937999999999999,-0.9809
B2H,B2Holding,3752.93,Financials,,0.0070999999999999995,0.047400000000000005,0.0362,-0.2235,-0.2526
BAKKA,Bakkafrost,37556.15,Consumer staples,,0.0023,0.0414,0.0183,0.556,0.4959
BALT-ME,Baltic Sea Properties,218.70,Real estate,,,,,,
BEL,Belships,1502.90,Industrials,LP,-0.0139,0.028999999999999998,0.0070999999999999995,0.43200000000000005,0.43200000000000005
BGBIO,BerGenBio,1076.17,Health care,,-0.08199999999999999,0.08470000000000001,-0.0519,-0.32880000000000004,-0.38630000000000003
BIOTEC,Biotec Pharmacon,231.04,Health care,,-0.0042,0.0063,0.1142,0.358,0.1435
BSP-ME,Black Sea Property,27.91,Consumer discretionary,,0.013300000000000001,,-0.5657,,-0.9882
BON,Bonheur,8081.06,Industrials,,0.0053,0.010700000000000001,0.0134,1.074,1.11
BOR,Borgestad,187.22,Materials,LP,0.0,-0.0051,-0.3128,0.665,-0.2498
BDRILL,Borr Drilling,6944.99,Energy,,0.009399999999999999,0.1175,0.0339,-0.41509999999999997,-0.4828
BRG,Borregaard,9395.41,Materials,,-0.0058,0.0262,0.0358,0.2929,0.256
BOUVET,Bouvet,3677.16,Information technology,,,,0.1534,0.9201,0.7263
BRA-ME,BRAbank,347.14,Financials,,-0.047599999999999996,0.0219,-0.3069,-0.6267,-0.6446999999999999
BWLPG,BW LPG,10320.12,Energy,,-0.0159,-0.008,0.3258,2.0066,1.393
BWO,BW Offshore Limited,11060.30,Energy,,-0.01,-0.0008,-0.1058,0.8831,0.6441
BMA,Byggma,642.47,Industrials,,0.0222,-0.016,0.011000000000000001,0.36719999999999997,0.2563
CARA,Carasent,406.34,Health care,,-0.0291,0.002,-0.009899999999999999,3.5956,3.1806
COV,ContextVision,742.73,Health care,LP,0.0,0.0105,0.0105,0.7391,0.6495000000000001
CRAYON,Crayon Group Holding,3663.72,Information technology,,-0.05,-0.0042,0.0106,1.965,2.0645
DAT,Data Respons,2944.91,Information technology,,0.0052,0.0104,0.0078000000000000005,0.7851,0.6394
DNB,DNB,242227.43,Financials,,-0.0087,0.0085,-0.08990000000000001,0.1716,0.09179999999999999
DNO,DNO,10332.37,Energy,,0.0078000000000000005,0.0407,-0.0949,-0.15689999999999998,-0.2874
DOF,DOF,397.77,Energy,,0.0060999999999999995,0.052300000000000006,0.0,-0.585,-0.6894
DDASA,Dolphin Drilling,65.60,Energy,,,,,,
EAM,EAM Solar,84.97,Utilities,,0.0,-0.0236,-0.008,-0.6173,-0.6173
EIOF,Eidesvik Offshore,300.18,Energy,,-0.0712,-0.0529,-0.12179999999999999,0.0546,-0.034
EMGS,Electromagnetic Geoservices,229.85,Energy,,0.011399999999999999,0.0028000000000000004,-0.17670000000000002,0.3615,0.2207
ELE,Element,122.60,Materials,,0.40259999999999996,0.7615000000000001,0.2675,-0.446,-0.6217
ELK,Elkem,12567.93,Materials,,-0.0101,0.047599999999999996,-0.081,0.0479,-0.0134
EMAS,EMAS Offshore,127.15,Energy,,,,,,
ENDUR,End̼r,261.55,Energy,LP,0.0,-0.016,-0.0611,0.0,-0.0862
ENTRA,Entra,25993.15,Real estate,,0.0085,0.0608,0.051500000000000004,0.2853,0.2853
EPIC-ME,Epic Gas,1556.60,Energy,LP,,,,0.6977,
EQNR,Equinor,555063.36,Energy,,-0.018500000000000003,0.0155,-0.0518,-0.042199999999999994,-0.1226
EPR,Europris,5157.32,Consumer discretionary,,-0.0087,0.0432,0.0404,0.4806,0.5722
