ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
GIG,-0.6556177,0.28336716,,,0.916996,,1.355,,,,,,737146048,,35573824,0.1,,,-,,,,,1546214400,2018-12-19,10/1,,1,,,1569801600,,1609372800,,2,6.04428,,-0.25417998,,90005600,,,-,,,,,,-0.08,,
FUNCOM,0.037661552,0.28336716,,,0.666934,,0.582,,,,157.442,35.381,1004635072,,26854914,,,,-,,,,,1546214400,2018-02-01,5/1,,1,,,1569801600,1324000,1609372800,,2,22.5945,,0.046630003,,77287000,,,-,,,,,,0.013,,
FRO,1.3003724,0.28336716,,,0.799276,,7.163,,,,87.494,27.964,23361097728,,89495187,0.43,,,-,,,,,1546214400,2016-02-04,5/1,,1,,,1569801600,56531000,1609372800,,2,15.48234,,0.06767,,196894000,,,-,,,,,,0.326,,
RISH,0,0.28336716,,,0.594529,,21.008,,,,19.856,7.227,1651000576,,5049248,,,,-,,,,,1546214400,2007-04-13,1/10,,1,,,1569801600,276171008,1609372800,,2,0.39032748,,1.2089,,86032496,,,-,,,,,,3.461,,
GENT-ME,Infinity,0.28336716,,,-0.366,,13.926,,,,-25.617,18.055,795699456,,5851528,,,,-,,,,,1546214400,-,,,1,,,1569801600,-45828352,1609372800,,2,4.4808273,,-1.03986,,15402700,,,-,,,,,,-2.977,,
GOGL,-0.009596944,0.28336716,,,1.96331,,10.425,,,0.04,40.886,13.348,8565184512,,93861367,,,,-,,,,,1546214400,2016-08-01,5/1,,1,,,1569801600,19734000,1609372800,,2,4.88729,,0.03075,,143278000,,,-,,,,,,0.138,,
GEOS-ME,-0.2612903,0.28336716,,,,,8.675,,,-0.979,57.143,5.656,377042592,,23181459,,,,-,,,,,1546214400,-,,,1,,,1561852800,-18102084,1609372800,,4,0.41498557,,-0.27154,,35415900,,,-,,,,,,-0.618,,
GJF,0.36558342,0.28336716,,,0.37329,,49.729,,,0.138,6.986,1.853,55938641920,,494957975,9.52,,,-,,,,,1546214400,-,,,1,,,1569801600,6376300032,1609372800,,2,3.7050815,,0.21284,,500000000,,,-,,,,,,12.842,,
GYL,0.26666665,0.28336716,,,-0.026548,,302.201,,,,10.95,0.749,1496261888,,151232,,,,-,,,,,1546214400,-,,,1,,,1561852800,51215000,1609372800,,2,1.4890752,,0.02564,,2307130,,,-,,,,,,22.198,,
GOD,0.75,0.28336716,,,0.973451,,10.501,,,,-5.156,0.323,182244816,,10068233,,,,-,,,,,1546214400,2012-05-07,10/1,,1,,,1569801600,-59852000,1609372800,,2,0.6523188,,-0.07706,,22614600,,,-,,,,,,-1.822,,
