,ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
148,OBSERV,Observe Medical,Health care,15.9,15.9,16.0,24,,308.99,-0.0364,0.1606,-0.024900000000000002,0.475,
149,OCY,Ocean Yield,Energy,22.8,22.8,22.85,769,,3992.17,0.0121,0.0323,0.048600000000000004,-0.4849,-0.5235
150,OTS,Oceanteam,Energy,2.8,2.77,2.88,8,,95.79,-0.024399999999999998,-0.0345,-0.041100000000000005,-0.4286,-0.6147
151,ODL,Odfjell Drilling,Energy,11.5,11.38,11.5,498,,2723.01,0.036000000000000004,0.0034999999999999996,0.0417,-0.6485,-0.5775
152,ODF,Odfjell ser. A,Industrials,21.1,21.0,21.5,3,LP,1266.43,-0.0365,-0.018600000000000002,0.0446,-0.20379999999999998,-0.1977
153,ODFB,Odfjell ser. B,Industrials,20.4,20.4,20.8,6,LP,382.63,-0.0097,-0.0286,0.02,-0.2214,-0.2214
154,OKEA,OKEA,Energy,9.34,9.28,9.34,44,,957.37,-0.0168,-0.0331,-0.0311,-0.46630000000000005,-0.5552
155,OET,Okeanis Eco Tankers,Energy,54.0,53.6,54.2,75,,1761.80,-0.0037,-0.0217,-0.1374,-0.4549,-0.1547
156,OLT,Olav Thon Eiendomsselskap,Real estate,142.5,142.5,143.5,61,,14766.30,0.0,0.014199999999999999,0.0215,-0.1508,-0.0172
157,ORK,Orkla,Consumer staples,84.74,84.6,84.74,4122,,84765.91,-0.0002,0.0078000000000000005,-0.0121,-0.0209,0.1371
158,OTELLO,Otello Corporation,Communication services,11.6,11.55,11.6,82,,1595.67,-0.0128,-0.0085,-0.083,-0.275,-0.2152
159,PEN,Panoro Energy,Energy,11.46,11.44,11.46,181,,786.54,0.034300000000000004,0.0106,0.0269,-0.4996,-0.3306
160,PARB,Pareto Bank,Financials,34.4,34.6,34.9,106,,2402.90,0.0393,0.033,0.0269,-0.10880000000000001,-0.0753
161,PCIB,PCI Biotech Holding,Health care,70.1,69.5,70.1,484,,2612.34,-0.0028000000000000004,-0.0168,-0.0264,-0.086,1.5036
162,PSE,Petrolia,Energy,6.9,6.5,6.9,156,,408.02,0.0,0.029900000000000003,2.0263,1.3,1.2697
163,PNOR,PetroNor E&P Limited,Energy,0.95,0.94,0.96,44,,923.08,-0.0206,-0.0256,-0.08650000000000001,-0.06860000000000001,0.036000000000000004
