ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
STRONG,0.23721886,0.23080206,,,0.352553,,5.642,,,-0.129,9.981,0.577,646781888,,29354608,1.1,,,-,,,,,1546214400,2005-05-09,1:10,,1,,,1569801600,21023000,1609372800,,2,2.2155263,,0.018760001,,44214800,,,-,,,,,,0.475,,
VVL,0.052631617,0.23080206,,,0.214991,,257.078,,,0.352,,12.874,1401835008,,1983384,18.25,,,-,,,,,1577750400,2014-05-13,20:1,,1,,,1577750400,46752000,1640908800,,2,0.6223792,,0.42935002,,2203960,,,-,,,,,,21.05,,
ABT,0.038461566,0.23080206,,,0.981054,,1.923,,,,-1.553,20.816,26807898,,4363739,-0.54,,,-,,,,,1546214400,2011-06-27,1:20,,1,,,1561852800,-18216404,1609372800,,4,1.4456578,,0,,6956810,,,-,,,,,,-1.941,,
STORM,-0.42386836,0.23080206,,,0.891268,,0.467,,,,-154.522,19.213,43420772,,5022360,0.09,,,-,,,,,1546214400,2019-07-10,1:10,,1,,,1561852800,9000,1609372800,,4,6.1241965,,0.00398,,8834560,,,-,,,,,,0.001,,
NPRO,0.37687957,0.23080206,,,0.239703,,16.68,,,0.662,25.591,13.661,15111515136,,82924164,0.47,,,-,,,,,1577750400,-,,,1,,,1577750400,1006700032,1640908800,,2,0.8663069,,0.91005,,493625984,,,-,,,,,,1.862,,
KOMP,-0.34579444,0.23080206,,,,,10.118,,,,,,,,,2.63,,,-,,,,,1577750400,-,,,1,,,1577750400,202900000,1640908800,,2,0.7975884,,0.28129998,,184120000,,,-,,,,,,1.11,,
SOLON,0.082981706,0.23080206,,,-0.360122,,15.541,,,-0.685,25.856,4.088,5261194240,,19141848,2.79,,,-,,,,,1546214400,2017-03-27,1:200,,1,,,1569801600,73414000,1609372800,,2,2.4580142,,0.05704,,69951800,,,-,,,,,,1.159,,
TGS,-0.028174758,0.23080206,,,1.030477,,12.918,,,0.212,56.178,43.287,27759226880,,115594568,2.07,,,-,,,,,1546214400,2006-06-15,4:1,,1,,,1569801600,167602000,1609372800,,2,18.431646,,0.26136,,117165000,,,-,,,,,,1.586,,
HAFNIA,Infinity,0.23080206,,,,,2.922,,,,141.546,25.143,9262612480,,,,,,-,,,,,1546214400,-,,,1,,,1569801600,-19781000,1609372800,,2,7.861054,,-0.0537,,,,,-,,,,,,-0.161,,
ADSC-ME,0.30256402,0.23080206,,,,,,,,,,,,,,,,,-,,,,,,-,,,1,,,,,,,2,,,0,,23390300,,,-,,,,,,,,
PEN,0.11124623,0.23080206,,,1.543657,,0.855,,,,44.846,28.089,1159401856,,43491850,-0.05,,,-,,,,,1546214400,2016-05-30,1:10,,1,,,1569801600,5661000,1609372800,,2,21.28655,,0.13368,,68799904,,,-,,,,,,0.091,,
AURG,0.09382868,0.23080206,,,-0.147446,,411.714,,,0.366,,14.017,3477005056,,2169668,14.03,,,-,,,,,1577750400,-,,,1,,,1577750400,117240000,1640908800,,2,0.48577413,,0.47264,,2380850,,,-,,,,,,36.476,,
MULTI,0.2542373,0.23080206,,,0.373493,,21.938,,,,21.392,0.934,3217102592,,19328181,5.33,,,-,,,,,1546214400,-,,,1,,,1569801600,46637000,1609372800,,2,3.3549092,,0.01354,,26925500,,,-,,,,,,1.729,,
ZWIPE-ME,-0.6666296,0.23080206,,,,,5.02,,,,-0.253,9.656,18801070,,11692643,,,,-,,,,,1546214400,-,,,1,,,1561852800,-78317000,1609372800,,2,1.1752988,,0,,25525300,,,-,,,,,,-4.911,,
MGN,0.27906978,0.23080206,,,0.853377,,1.892,,,-0.985,,7.9,369733152,,24268889,,,,-,,,,,1546214400,2011-12-01,1:100,,1,,,1569801600,72500000,1609372800,,2,4.3868923,,1.54915,,52585800,,,-,,,,,,1.378,,
ENTRA,0.28314245,0.23080206,,,0.297364,,123.921,,,0.262,21.424,18.902,50089308160,,126379612,7.24,,,-,,,,,1577750400,-,,,1,,,1577750400,2945999872,1640908800,,2,1.294373,,1.1116999,,182108992,,,-,,,,,,16.175,,
TRVX,-0.06480402,0.23080206,,,2.218286,,5.233,,,,-2.947,17749.893,425997408,,45072721,-2.85,,,-,,,,,1546214400,-,,,1,,,1569801600,-153482000,1609372800,,2,1.4179248,,0,,76011296,,,-,,,,,,-2.643,,
YAR,0.12547863,0.23080206,,,0.849258,,32.578,,,0.268,59.352,8.35,107368620032,,171912937,3.07,,,-,,,,,1577750400,-,,,1,,,1577750400,599000000,1640908800,,2,11.664313,,0.04659,,271040992,,,-,,,,,,2.2,,
LSTSB-ME,0.19090915,0.23080206,,,0.173579,,877.957,,,0.245,,15.213,2762230016,,524910,,,,-,,,,,1546214400,-,,,1,,,1569801600,90434000,1609372800,,2,0.14807104,,0.49807,,1000000,,,-,,,,,,90.434,,
ENDUR,Infinity,0.23080206,,,,,1.341,,,,-4.111,0.758,169698992,,,,,,-,,,,,1514678400,-,,,1,,,1569801600,-71628000,1577750400,,4,0.83146906,,-0.32004002,,213091008,,,-,,,,,,-0.762,,
AEGA,0.27999997,0.23080206,,,-0.731466,,0.165,,,24.748,,,61921216,,26011264,,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,4,8.424242,,0.41834998,,48050800,,,-,,,,,,-0.058,,
B2H,-0.5055325,0.23080206,,,1.071663,,10.053,,,0.138,,7.062,14605897728,,277405488,2.16,,,-,,,,,1546214400,-,,,1,,,1569801600,173246000,1609372800,,2,0.70824623,,0.08377,,409932992,,,-,,,,,,0.416,,
HLNG,-0.41604012,0.23080206,,,0.894563,,5.167,,,,17.737,10.302,3752738816,,36253304,0.45,,,-,,,,,1546214400,-,,,1,,,1569801600,10910000,1609372800,,2,4.5674477,,0.029949998,,76204000,,,-,,,,,,0.135,,
BOUVET,0.85321105,0.23080206,,,0.333607,,25.959,,,0.669,17.357,2.035,4231146496,,7570069,13.84,,,-,,,,,1546214400,-,,,1,,,1569801600,179084000,1609372800,,2,15.408915,,0.08614001,,10249500,,,-,,,,,,17.352,,
AVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLCS,-0.10130715,0.23080206,,,1.84514,,0.17,,,,12.803,2.832,865864512,,464185744,-0.01,,,-,,,,,1546214400,2017-05-19,1:10,,1,,,1569801600,-9108000,1609372800,,4,6.4117646,,-0.029790001,,513787008,,,-,,,,,,-0.018,,
PHO,1.1303868,0.23080206,,,-0.168039,,7.638,,,,-86.12,9.319,2011587200,,16356820,1.25,,,-,,,,,1546214400,-,,,1,,,1569801600,-22678000,1609372800,,2,12.568735,,-0.105059996,,21779800,,,-,,,,,,-1.044,,
INFRNT,0.16029418,0.23080206,,,-0.638135,,5.655,,,,,,1031248256,,31164497,1.13,,,-,,,,,1546214400,-,,,1,,,1569801600,,1609372800,,2,4.2086644,,-0.15883,,43425400,,,-,,,,,,0.636,,
INC,0.09649122,0.23080206,,,1.186985,,0.252,,,,-10.444,0.38,155624592,,39933298,,,,-,,,,,1546214400,2015-07-14,1:10,,1,,,1569801600,27022000,1609372800,,4,3.6904762,,-0.16052,,107511000,,,-,,,,,,-0.604,,
ARCUS,-0.14183551,0.23080206,,,-0.07121,,23.367,,,0.062,13.539,1.548,4254364672,,24561294,3.34,,,-,,,,,1546214400,-,,,1,,,1569801600,135063008,1609372800,,2,1.532075,,0.04913,,68013200,,,-,,,,,,1.902,,
STB,0.11657953,0.23080206,,,0.713344,,69.894,,,-0.124,17.685,0.883,58589229056,,451101351,5.68,,,-,,,,,1546214400,-,,,1,,,1569801600,3251000064,1609372800,,2,1.0015166,,0.04917,,466871008,,,-,,,,,,6.962,,
BGBIO,-0.20435685,0.23080206,,,1.383239,,3.598,,,,-4.226,96.68,860451008,,35665064,-3.85,,,-,,,,,1577750400,-,,,1,,,1577750400,-199278000,1640908800,,2,5.069483,,0,,66551700,,,-,,,,,,-3.434,,
VEI,0.3208791,0.23080206,,,0.130148,,34.063,,,,13.12,0.463,16925333504,,76287166,8.04,,,-,,,,,1577750400,2007-05-09,5:1,,1,,,1577750400,403000000,1640908800,,2,3.4318764,,0.01695,,134956000,,,-,,,,,,4.6,,
TECH,-0.083798885,0.23080206,,,-0.674273,,2.708,,,,42.508,0.511,569564736,,34125273,,,,-,,,,,1546214400,2016-03-11,1:10,,1,,,1569801600,-64878000,1609372800,,4,1.1078287,,-0.0582,,162792992,,,-,,,,,,-0.394,,
NKR,Infinity,0.23080206,,,-0.300658,,1.699,,,26.565,-4.936,-0.302,-64189224,,47538724,,,,-,,,,,1546214400,-,,,1,,,1569801600,-13343000,1609372800,,4,1.2713361,,0.5348,,105613000,,,-,,,,,,1.125,,
NORTH,-0.22093022,0.23080206,,,0.625205,,2.6,,,,2.538,-67.07,-59222864,,46412871,-0.93,,,-,,,,,1546214400,-,,,1,,,1569801600,-40623000,1609372800,,4,0.5307692,,0,,117252000,,,-,,,,,,-0.34,,
TOTG,0.15199995,0.23080206,,,0.145799,,307.609,,,0.108,,9.667,3964608000,,3870583,14.88,,,-,,,,,1546214400,2012-05-02,340:240,,1,,,1569801600,101261000,1609372800,,2,0.46487585,,0.4621,,6124530,,,-,,,,,,16.121,,
NEL,1.1355617,0.23080206,,,0.196046,,1.602,,,,-75.096,28.059,13386584064,,1125639060,-0.06,,,-,,,,,1546214400,2013-08-16,1:10,,1,,,1569801600,-230920992,1609372800,,2,7.1036205,,-0.48402,,1311100032,,,-,,,,,,-0.196,,
SPOL,0.16509438,0.23080206,,,0.464188,,136.303,,,-0.096,,11.383,48467152896,,114415507,8.88,,,-,,,,,1577750400,-,,,1,,,1577750400,1348999936,1640908800,,2,0.7175191,,0.45185003,,115830000,,,-,,,,,,11.55,,
