ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
NEXT,0164,Technology,"NEXT Biometrics Group ASA, through its subsidiaries, engages in the research, development, manufacture, and commercialization of fingerprint technology and products in Asia. The company offers fingerprint sensor modules and readers, and flexible biometric subassemblies, as well as software and hardware development kits for USB and SPI modules. Its products are used in smart card, government ID, access control, and notebook applications. The company sells its sensors to distributors of electronic components. NEXT Biometrics Group ASA is headquartered in Oslo, Norway.",Oslo,47 22 70 00 95,Norway,[],http://www.nextbiometrics.com,1,Universitetsgata 10,,Scientific & Technical Instruments,2.35,2.42,2.645999,,0,,2.425,,1785622,,2.35,2.2182941,,2.42,,1785622,,,,,,2.934302,,,2.33,4,NOK,,172802,,,,179988448,,,817871,2.3247714,2.33,2.39,,110000,172802,6.35,-0.3885246,,,1.07,2.37,False,,12400,2.425,OSL,NEXT BIOMETRICS GR,NEXT Biometrics Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NEXT.OL,finmb_61572672,no_market,,0.643,,-2.03711,-0.337,-0.4829483,,-6.1,,75944496,,,2.402,,,,1577750400,0.03532,-157716992,-3.529,,,0.98667777,0.38145,1640908800,1585612800,,,32628954,49790852,,,,,,,,,,,,,,https://logo.clearbit.com/nextbiometrics.com,65,,,,,1140d622-f964-3ad8-bc48-278a028581e8,
NKR,5058,Industrials,"Nekkar ASA operates in shipyard, drilling, and aqua cultural industries. The company offers shipyard solutions, including Syncrolift ship lifting systems used for the retrieval and launching of ships, as well as for launching concrete caissons, offshore structures, and wind farm equipment; and FastDocking products for the docking, launching, and repair operations of ships. It also offers equipment and upgrades, operator training, and spare parts; Intellilift for the offshore energy and other industries. The company was formerly known as TTS Group ASA and changed its name to Nekkar ASA in July 2019. Nekkar ASA founded in 1966 and is headquartered in Bergen, Norway.",Bergen,,Norway,[],http://www.nekkar.com,1,Solheimsgaten 16,,Specialty Industrial Machinery,3.6,3.59,2.7290647,1.1111112,8.6957,,3.66,,130254,,3.6,3.7273529,4,3.59,,130254,,,,4,1568937600,0.473837,,,3.58,4,NOK,1.7567568,10379,,,,384431328,,,282783,1.4419023,3.58,3.66,,,10379,7,,,,1.505,3.6,False,1.0929,,3.66,OSL,NEKKAR ASA,Nekkar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NKR.OL,finmb_884363,no_market,,0.508,,0.73452,3.838,-0.48275864,,,,105613000,,,2.059,,,,1577750400,0.13253,47717000,2.072,,,1.7678485,0.62224,1640908800,1577750400,,,42370002,135310400,,,,,,,,,,,,,,https://logo.clearbit.com/nekkar.com,50,entrance B,,,,185b0aea-df47-3f88-9093-af548aa196ba,
NAPA,2860,Technology,"Napatech A/S provides reconfigurable computing solutions for network performance and cybersecurity applications worldwide. It provides Link Capture Software that enables packet capture with nanosecond timestamping and replay with precise inter-frame gap control; Link Virtualization Software that offloads and accelerates the Open vSwitch (OVS) dataplane to enhance CPU efficiency, scalability and network performance; and Link Programmable, which enables end users and OEMs to deploy FPGA IP on SmartNIC platform. The company also offers FPGA SmartNICs that captures data from networks enabling real-time insight into network traffic; and FPGA Cloud Crypto, a cryptography engine that provides technology demonstration and playground for users to learn, experiment, and adapt use cases for FPGA-based crypto offload. It also provides solutions for telecom operators, cloud and data center service providers, and infrastructure and defense, as well as cyber security, financial services, and network management industries. The company was founded in 2003 and is headquartered in Copenhagen, Denmark.",Copenhagen,45 45 96 15 00,Denmark,[],http://www.napatech.com,1,Tobaksvejen 23 A,,Communication Equipment,7.42,7.71,4.3366547,,0,,7.9,,176082,,7.42,5.4623528,,7.71,,176082,,,,,,0.279651,,,7.55,2,NOK,,93294,,,,642864256,,,162643,,7.55,7.74,,99400,93294,7.9,,,,1.1,7.74,False,,30200,7.9,OSL,NAPATECH A/S,Napatech A/S,Europe/Oslo,CEST,False,7200000,EQUITY,NAPA.OL,finmb_8539253,no_market,,,,-0.03329,,4.3,,,,83057400,,,0.397,,,,1577750400,0.50098,,-0.862,,,19.49622,0.27607,1640908800,1585612800,,,39394965,616286080,,1461542400,4:1,,,,,,,,,,,https://logo.clearbit.com/napatech.com,81,Soeborg,,,,77ae3d22-1352-3a37-bd31-8bfb96439299,
NSKOG,0213,,"Norske Skog ASA produces and sells newsprint and magazine paper primarily in Europe and Australasia. It operates through two segments, Publication Paper Europe, and Publication Paper Australasia. The company offers improved newsprint, super calandered, light-weight coated, and book and directory paper products. Its products are used in catalogues, inserts/flyers, supplements, free-sheets, directories, direct mail, and brochures. The company sells its products under brands, including Nornews, Norbright, NorX, Norstar, Norcote, NorSC, Norbook, Vantage, and Tasman Directory. It also exports its products to North America, Africa, the Middle East, and Asia. The company was founded in 1962 and is headquartered in Oslo, Norway. Norske Skog ASA is a subsidiary of NS Norway Holding AS.",Oslo,47 22 51 20 20,Norway,[],http://www.norskeskog.com,1,PB 294 SkOeyen,,,28.2,28.15,34.13875,0.2216312,0.6286,,28.65,,66244,,28.2,31.572857,6.25,28.15,,66244,,,,3.25,1587081600,,,,28.15,2,NOK,5.48993,57904,,,,2338875136,,,154887,0.21971583,28.15,28.45,,,57904,45.05,,,,25.5,28.35,False,0.115200005,,28.65,OSL,NORSKE SKOG ASA,Norske Skog ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NSKOG.OL,finmb_283764576,no_market,,0.249,,0.040110003,2.388,Infinity,,,,82500000,,,60.812,,,,1577750400,0.20117001,427000000,5.164,,,0.46619087,0.66667,1640908800,1593475200,,,27535200,2655500032,,,,,,,,,,,,,,https://logo.clearbit.com/norskeskog.com,2300,,,,,fcefc0b9-bd00-3360-8fdf-d92e1a313c86,
MELG,7224,Financial Services,"Melhus Sparebank, a savings bank, provides various banking products and services to companies, agriculture customers, and private individuals in Norway. The company offers savings accounts; car loans, mortgages, and payment services; loans for other vehicles; and banking and bank cards. It also provides various insurance products, including auto, health, buildings, property, UNG, and income insurance; savings and pension products; payment services; and online and mobile banking services. The company operates through branch offices in central Trondheim, Heimdal, Ler, and Korsvegen. Melhus Sparebank was founded in 1840 and is headquartered in Melhus, Norway.",Melhus,,Norway,[],http://www.melhusbanken.no,1,Melhusvegen 439,,Banks—Regional,136,136,132.17267,0.073529415,0.77760005,,137,,116,,136,132.58824,10,136,,116,,,,10,1583452800,0.143023,,,136,2,NOK,10.73079,157,,,,380342144,,,660,1.748788,136,138,,,157,150,,,7.17,120,137,False,0.0735,,137,OSL,MELHUS SPAREBANK,Melhus Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,MELG.OL,finmb_8952942,no_market,,8.442,,0.42876998,,0.08800006,,,,2776220,,,373.448,,,,1577750400,0.05159,37995000,12.767,,,0.3668516,0.40271,1640908800,1585612800,,,1704519,1835962624,,,,,,-0.246,,,,,,,,https://logo.clearbit.com/melhusbanken.no,,,,,,48b41af4-8c0c-3734-ac3b-e365976127fe,
NORTH,0252,Financial Services,"North Energy ASA does not have significant operations. Previously, it was engaged in the exploration, development, and production of oil and gas in the Norwegian continental shelf. The company was founded in 2007 and is headquartered in Oslo, Norway.",Oslo,47 22 01 79 50,Norway,[],http://www.northenergy.no,1,Tjuvholmen alle 3,,Asset Management,1.415,1.425,1.3164748,0.21201415,,,1.48,,104421,,1.415,1.3851471,0.3,1.425,,104421,,,,0.3,1559088000,1.009302,,,1.42,4,NOK,,148605,,,,170015408,,,102674,192.54294,1.42,1.45,,3094400,148605,1.65,-1.5591398,,,0.9,1.44,False,0.229,1019800,1.48,OSL,NORTH ENERGY ASA,North Energy ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NORTH.OL,finmb_53162324,no_market,,-58.762,,0,2.657,,,-0.93,,117252000,,,2.252,,,,1577750400,0,-66068000,-0.593,,,0.6438721,0.54482,1640908800,1585612800,,,47190249,-51886996,,,,,,,,,,,,,,https://logo.clearbit.com/northenergy.no,3,,,,,3e9514d3-4df0-35ae-a53c-9645c2c7d74c,
MULTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODL,HM 08,Energy,"Northern Drilling Ltd., a drilling contractor, focuses on acquiring and operating offshore drilling rigs for oil and gas industry. It owns two semi-submersible drilling rigs, as well as owns two drillships and an option to acquire a third drillship. The company was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.northerndrillingltd.com,1,Par La Ville Place,,Oil & Gas Drilling,6.22,5.8,7.6991725,,0,,6.69,,27846,,6.22,6.6008825,,5.8,,27846,,,,,,2.652198,,,5.8,2,NOK,,54112,,,,97281992,,,104232,4.205516,5.8,6.43,,0,54112,39.95,-22.333334,,,2.1,6.03,False,,0,6.69,OSL,NORTHERN DRILLING,Northern Drilling Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,NODL.OL,finmb_423276374,no_market,,3.575,,-0.77883005,,-0.8460396,,-0.27,,16133000,,,15.705,,,,1577750400,0.75004,-18016000,-0.182,,,0.38395417,0.39400002,1640908800,1585612800,,,8754259,82700616,,,,,,,,,,,,,,https://logo.clearbit.com/northerndrillingltd.com,2,14th Par La Ville Road,,,,93da0603-ff72-38a9-8236-0d8bf6368755,
MRCEL-ME,0663,Technology,"Mercell Holding AS provides software platform for public e-tendering and procurement in the Nordic region. The company's software enables easy compliance with EU regulations for public buyers that are required by law to publish tenders through an e-tendering platform. Its two-sided SaaS marketplace platform also caters to the needs of the supply side and facilitates interaction between buyers and suppliers. The company also offers tender consulting services. Mercell Holding AS was founded in 1999 and is headquartered in Oslo, Norway.",Oslo,47 21 01 88 00,Norway,[],http://www.mercell.com,1,Grensesvingen 6,,Software—Application,7.769,7.76,,,0,,7.8,,,,7.769,,,7.76,,,,,,,,,,,7.71,2,NOK,,73575,,,,2259519488,,,,13.6231985,7.71,7.78,,,73575,7.8,,,,7.71,7.77,False,,,7.8,OSL,MERCELL HOLDING AS,Mercell Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,MRCEL-ME.OL,finmb_254089355,no_market,,10.445,,-0.3549,254.068,,,,,289681984,,,0.466,,,,1577750400,,-58862548,-0.264,,,16.738197,,1640908800,,,,93737027,1732344448,,,,,,,,,,,,,,https://logo.clearbit.com/mercell.com,187,,,,,345d8233-c554-328e-9966-89a297fb5c37,
NEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOD,7052,Technology,"Nordic Semiconductor ASA, a fabless semiconductor company, designs, develops, and sells integrated circuits and related solutions for short and long range wireless communication in Europe, the Americas, and the Asia/Pacific. The company specializes in ultra-low power components, based on its proprietary 2.4 GHz RF, Bluetooth low energy, and LTE-M and NB- Internet of Things (IoT); and develops long power cellular IoT. It also provides Bluetooth 5 solutions; low power cellular devices for the IoT; and Bluetooth 5.1 solutions for direction finding applications. In addition, the company offers Zigbee 3.0 IoT solutions; Thread solution for low-power IEEE 802.15.4 devices; nRF52 and nRF51 series system-on-chips, and nRF5 software development kits; ANT, a proprietary ultra-low power wireless solution for battery operated products; and application specific integrated circuits and related consulting services. Further, it provides software for system development, communication stacks, and application layer software, as well as development tools for desktops, mobiles, and clouds. The company's products are used in various applications, such as audio and music, automotives, beacons, computer peripherals, connected health and homes, education, industrial automation, LED lightings, logistics and transport, retail and payment, sports and fitness, toys and gaming, virtual reality and augmented reality products, mobile phone accessories, and consumer electronics, as well as wearables, including connected watches, jewelry, proximity tags, and smart clothes and apparels. Nordic Semiconductor ASA was founded in 1983 and is headquartered in Trondheim, Norway.",Trondheim,47 72 89 89 00,Norway,[],http://www.nordicsemi.com,1,Otto Nielsens veg 12,,Semiconductor Equipment & Materials,87.9,89,60.96007,,0,,91.9,,317778,,87.9,79.38088,,89,,317778,,,,,1308268800,1.402325,,,89,2,NOK,1083.1326,380855,,,,15976397824,,,485693,49.31109,89,89.95,,96500,380855,95,1123.75,,,31.48,89.85,False,,581300,91.9,OSL,NORDIC SEMICONDUCT,Nordic Semiconductor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NOD.OL,finmb_884166,no_market,,47.697,,0.04478,546.137,0.9868896,,0.08,,177712992,,,1.371,,,,1577750400,0.55627996,14507000,0.083,,,65.57257,0.13182001,1640908800,1593475200,,,171036252,15453478912,,,,,,0.5,,,,,,,,https://logo.clearbit.com/nordicsemi.com,822,,,,,61ea7640-f972-397d-be57-4173fa2df326,
NHY,0240,Basic Materials,"Norsk Hydro ASA operates as an integrated aluminum company worldwide. It operates through six segments: Bauxite & Alumina, Primary Metal, Metal Markets, Rolled Products, Extruded Solutions, and Energy. The Bauxite & Alumina segment engages in bauxite mining activities, production of alumina, and related commercial activities, primarily the sale of alumina. The Primary Metal segment is involved in the primary aluminum production, remelting, and casting activities. This segment principally offers extrusion, sheet, and standard ingots, as well as foundry alloys. The Metal Markets segment sells products from the company's primary metal plants; operates remelters; and trades in physical and financial metals. The Rolled Products segment operates rolling mills and a primary metal plant. This segment principally offers aluminum foils, strips, sheets, and lithographic plates for application in the packaging, automotive, building and general engineering, and transport industries, as well as for offset printing plates. The Extruded Solutions segment offers extrusion profiles, building systems, and precision tubing products for construction, automotive and heating, and ventilation and air conditioning sectors. The Energy segment owns and operates 26 hydroelectric power plants with an installed capacity of approximately 2,000 MW in Norway. Norsk Hydro ASA was founded in 1905 and is headquartered in Oslo, Norway.",Oslo,47 22 53 81 00,Norway,[],http://www.hydro.com,1,Drammensveien 260,47 22 53 27 25,Aluminum,25.05,25.5,26.007122,0.0499002,0,,25.8,,6032925,,25.05,27.10794,1.25,25.5,,6032925,,,,,1589241600,0.933139,,,25.35,2,NOK,,1916445,,,,52106067968,,,7252291,0.36661366,25.35,25.44,,410000,1916445,36.41,6.8360214,,,19.135,25.42,False,,1100,25.8,OSL,NORSK HYDRO ASA,Norsk Hydro ASA,Europe/Oslo,CEST,True,7200000,EQUITY,NHY.OL,finmb_292387,no_market,,0.472,,-0.03373,6.666,,,3.72,,2048999936,,,36.912,,,,1577750400,0.29948,-4793999872,-2.341,,,0.6889359,0.34263,1640908800,1593475200,,,1339123950,67064451072,,1147219200,5:1,,,,,,,,,,,https://logo.clearbit.com/hydro.com,35000,Vakero,,,,393ecc80-795c-3904-9f9c-8b2facbb321b,
NANO,0884,Healthcare,"Nordic Nanovector ASA, a biopharmaceutical company, develops and commercializes therapeutics for haematological cancers. The company's lead product candidate is Betalutin, an antibody-radionuclide-conjugate, which has completed Phase I/IIa clinical trial for the treatment of patients with non-hodgkin lymphoma, a life-threatening blood cancer. Nordic Nanovector ASA has collaboration agreements with Paul Scherrer Institute; Areva Med; LegoChemBio; and Heidelberg Pharma. The company was formerly known as Nordic Nanovector AS and changed its name to Nordic Nanovector ASA in 2014. Nordic Nanovector ASA was founded in 2009 and is headquartered in Oslo, Norway.",Oslo,47 22 18 33 01,Norway,[],http://www.nordicnanovector.com,1,Kjelsasveien 168 B,47 22 58 00 07,Biotechnology,22,22.6,20.009357,,0,,22.84,,146265,,22,20.737942,,22.6,,146265,,,,,,0.993604,,,21.9,2,NOK,,110101,,,,1472763904,,,538271,,21.9,22.34,,10000,110101,40,-2.7964823,,,9.57,22.3,False,,100000,22.84,OSL,NORDIC NANOVECTOR,Nordic Nanovector ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NANO.OL,finmb_117497706,no_market,,,,0,-2.282,,,-7.96,,66161900,,,4.362,,,,1577750400,0.24163,-435830016,-7.274,,,5.1031637,0.14242,1640908800,1585612800,,,51454245,1074921984,,,,,,,,,,,,,,https://logo.clearbit.com/nordicnanovector.com,43,,,,,00442fdb-da3e-3712-821e-59d32a59825e,
NOR,0158,Energy,"Norwegian Energy Company ASA, an oil and gas company, focuses on the exploration, development, and production of hydrocarbon resources in Norway, Denmark, and the United Kingdom. Its asset portfolio includes 4 production hubs and 11 producing fields on the Danish Continental Shelf. As of December 31, 2019, the company had proven and probable reserves of 209 million barrels of oil equivalent. Norwegian Energy Company ASA was founded in 2005 and is headquartered in Oslo, Norway.",Oslo,47 22 33 60 00,Norway,[],http://www.noreco.com,1,Nedre Vollgate 1,,Oil & Gas E&P,149,148,166.04604,,0,,152,,4406,,149,160.38235,,148,,4406,,,,,,0.256395,,,146.5,2,NOK,15.340561,3575,,,,3616634880,,,19048,7.5189915,146.5,151.5,,50000,3575,298,8.751459,,,105,150,False,,200100,152,OSL,NORWEGIAN ENERGY,Norwegian Energy Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NOR.OL,finmb_24349084,no_market,,8.998,,0.43243,19.949,-0.477193,,17.14,,24110900,,,28.22,,,,1577750400,0.13282,208000000,9.778,,,5.315379,0.026600001,1640908800,1585612800,,,5919351,4328261120,,1431648000,1:100,,,,,,,,,,,https://logo.clearbit.com/noreco.com,29,,,,,42d25bec-cf8f-30f3-a632-33cae79974f4,
NRS,7414,Consumer Defensive,"Norway Royal Salmon ASA produces, harvests, sells, and markets smolt and salmon products in Norway. The company offers fresh and frozen fish, round fish, fillet, portions, and smoked and marinated products. It also exports its products. Norway Royal Salmon ASA was founded in 1992 and is based in Trondheim, Norway.",Trondheim,47 73 92 43 00,Norway,[],http://www.norwayroyalsalmon.com,1,Ferjemannsveien 10,47 73 92 43 01,Farm Products,221.2,221.2,225.02461,0.011184448,0.6852,,226,,17127,,221.2,228.44705,2.474,221.2,,17127,,,,2.47,1591315200,0.052906,,,218.8,2,NOK,8.151372,8264,,,,9485054976,,,34026,1.7662998,218.8,221.4,,131900,8264,254,11.945946,,2.14,170.5,221,False,0.0112,42600,226,OSL,NORWAY ROYAL SALMO,Norway Royal Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,NRS.OL,finmb_22969855,no_market,,1.885,,0.22389999,25.273,0.13961875,,18.5,,42918800,,,76.735,,,,1577750400,0.14016,265951008,27.112,,,2.8800416,0.66208,1640908800,1585612800,,,13882894,10120024064,,1591315200,1:1,,,-0.73,,,,,,,,https://logo.clearbit.com/norwayroyalsalmon.com,175,PO Box 2608 Sentrum,,,,1b90c6b5-4c27-3a46-8643-3d5116213df5,
NAS,1330,Industrials,"Norwegian Air Shuttle ASA, together with its subsidiaries, provides scheduled and charter airline services in Norway and internationally. As of December 31, 2019, the company operated a total of 156 aircraft, whereas 65 owned and 101 leased aircrafts in approximately 500 routes to 150 destinations across Europe into North Africa, the Middle East, North America, South America, and South-East Asia. It is also involved in aircraft financing, leasing, and ownership activities; and commercial cargo activities, as well as handles crew services, airline operative support, administrative, ground handling services, and holiday packages through web portal. The company was founded in 1993 and is headquartered in Fornebu, Norway.",Fornebu,47 67 59 30 00,Norway,[],http://www.norwegian.com,1,Oksenoyveien 3,,Airlines,2.23,2.25,13.47413,,0,,2.317,,18586643,,2.23,2.8081765,,2.25,,18586643,,,,,,1.360465,,,2.229,4,NOK,,12062050,,,,8120168960,,,44929356,0.18657662,2.229,2.277,,,12062050,48.17,,,,1.5,2.275,False,,,2.317,OSL,NORWEGIAN AIR SHUT,Norwegian Air Shuttle ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NAS.OL,finmb_9002664,no_market,,1.488,,-0.03712,17.476,-0.9440402,,,,3566170112,,,25.074,,,,1577750400,0.28066,-1615399936,-12.63,,,0.0908112,0.10098,1640908800,1577750400,,,1715551912,64781762560,,,,,,,,,,,,,,https://logo.clearbit.com/norwegian.com,9389,,,,,b01488e9-9c31-39e7-bf9d-d0da043e61bb,
NOFI,1364,Financial Services,"Norwegian Finans Holding ASA, through its subsidiary, Bank Norwegian AS, provides various digital banking products and services to retail customers in Norway, Finland, Sweden, and Denmark. It offers deposit accounts, installment loans, and credit cards through Internet. The company also provides a combined credit card and reward card in cooperation with the airline Norwegian. Norwegian Finans Holding ASA was founded in 2007 and is based in Fornebu, Norway.",Fornebu,,Norway,[],http://www.banknorwegian.no/OmOss/InvestorRelations,1,Snaroyveien 36,,Banks—Regional,67.1,67.2,67.461296,0.047391955,0,,68.45,,129482,,67.1,69.31765,3.18,67.2,,129482,,,,,1588204800,1.555813,,,67.2,2,NOK,6.8136277,99341,,,,12695260160,,,499201,3.3247705,67.2,68.15,,795000,99341,102.8,6.35514,,,32.24,67.95,False,,50000,68.45,OSL,NORWEGIAN FIN HLDG,Norwegian Finans Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NOFI.OL,finmb_47733558,no_market,,5.01,,0.48794997,,0.08928573,,10.7,,186695008,,,52.654,,,,1577750400,0.33036998,1863182976,9.98,,,1.2914499,0.32112998,1640908800,1585612800,,,104358771,19130929152,,,,,,-0.243,,,,,,,,https://logo.clearbit.com/banknorwegian.no,85,,,,,2047ec1b-f1d8-3fc2-aae8-a0e1b730c021,
NRC,1366,Industrials,"NRC Group ASA, together with its subsidiaries, engages in the infrastructure business in Norway, Sweden, and Finland. It provides rail, metro, tram, harbor, and road related infrastructure services, including groundwork, specialized track work, safety, electro, telecom, and signaling systems, as well as project management, construction, maintenance, environment services, concrete works, and fibers. The company was formerly known as Blom ASA and changed its name to NRC Group ASA in May 2015. NRC Group ASA was founded in 2011 and is headquartered in Lysaker, Norway.",Lysaker,47 90 40 70 97,Norway,[],http://www.nrcgroup.com,1,Lysaker Torg 25,,Railroads,33,32.65,32.77446,,0,,32.75,,44735,,33,32.05294,,32.65,,44735,,,,,1524182400,0.377325,,,32.1,2,NOK,,10526,,,,2388381952,,,72463,0.378088,32.1,33,,,10526,65.5,,,,18.8,32.8,False,,,32.75,OSL,NRC GROUP ASA,NRC Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NRC.OL,finmb_876360,no_market,,0.555,,-0.00602,33.069,-0.48275864,,,,72927696,,,38.059,,,,1577750400,0.34921002,-113000000,-0.682,,,0.8605061,0.20921,1640908800,1585612800,,,46721611,3505287168,,1384992000,1:100,,,,,,,,,,,https://logo.clearbit.com/nrcgroup.com,1986,,,,,df5bdbf5-1f2a-37df-a179-697b4068de08,
OLT,0105,Real Estate,"Olav Thon Eiendomsselskap ASA engages in the property rental business in Norway and Sweden. The company is also involved in the property development and management business. As of December 31, 2019, it had 77 shopping centers comprising 16 managed for external owners. The company was founded in 1982 and is based in Oslo, Norway.",Oslo,47 23 08 00 00,Norway,[],http://www.olt.no,1,Stenersgata 2,,Real Estate—Development,151,151,143.24892,0.029139074,,,153.5,,7442,,151,142.58824,4.4,151,,7442,,,,,1590105600,0.997674,,,151,2,NOK,,1413,,,,15906130944,,,12626,4.1303897,151,153.5,,35400,1413,189.6,11.395694,,1.67,85.9,153,False,,7900,153.5,OSL,OLAV THON EIENDOMS,Olav Thon Eiendomsselskap ASA,Europe/Oslo,CEST,False,7200000,EQUITY,OLT.OL,finmb_4469432,no_market,,10.31,,-0.13918,16.44,0.041379333,,13.47,,103623000,,,243.98,,,,1577750400,0.12808,-536000000,-5.51,,,0.6291499,0.78239995,1640908800,1585612800,,,26845655,39702097920,,1402444800,10:1,,,,,,,,,,,https://logo.clearbit.com/olt.no,,Sentrum PO Box 489,,,,da99422c-f097-30ea-83ca-8d1ecdffe75c,
OBSERV,0255,Healthcare,"Observe Medical ASA develops and markets medical technology products for patients, healthcare professionals, and hospitals in Europe and the United States. The company offers Sippi, a digital urine measuring system that automatically delivers data to electronic patient journal systems. It also develops Sippcoat, a technology that hampers the formation of biofilms in urine collection and drainage systems. The company was founded in 2009 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://observemedical.com,1,Henrik Ibsensgate 90,,Medical Devices,15,15.15,12.373929,,0,,15.15,,23811,,15,14.913538,,15.15,,23811,,,,,,,,,14.55,2,NOK,,3243,,,,293447360,,,21995,1616.1042,14.55,14.95,,,3243,20.5,,,,5.902,14.65,False,,,15.15,OSL,OBSERVE MEDICAL,Observe Medical ASA,Europe/Oslo,CEST,False,7200000,EQUITY,OBSERV.OL,finmb_638427790,no_market,,1427.656,,0,-17.75,Infinity,,,,19433600,,,0.954,,,,1577750400,0.11623,-13250616,-0.864,,,15.828093,0.77686,1640908800,1585612800,,,5984410,259229440,,,,,,,,,,,,,,https://logo.clearbit.com/observemedical.com,7,,,,,25009432-ca8b-3b95-8eba-cd40c626353f,
NTS,7970,Consumer Defensive,"NTS ASA, an integrated aquaculture company, engages in the aquaculture, well-boat, sea transport, and service boat businesses in Norway. The company produces salmon; provides well-boat shipping services; and transports fish and fish products by sea and land. It also supplies various safety systems for boats, fish farms, and land customers; and provides preparation, implementation, and maintenance services for management systems and security management systems. In addition, the company operates boat and ferry connections; and offers diving services and other services for the aquaculture and other sectors. It operates 15 connections, including 10 ferry connections, 4 fast ferry routes, and 1 local boat route, as well as 23 service vessels. The company was founded in 1879 and is based in Kolvereid, Norway.",Kolvereid,47 74 21 63 00,Norway,[],http://www.ntsasa.no,1,Sentrumsgata 6,,Farm Products,69,70,66.1259,0.014492754,0.4688,,70,,1143,,69,70.338234,1,70,,1143,,,,1,1589414400,0.61248,,,69,2,NOK,21.596245,375,,,,8229768192,,,4337,5.137318,69,70,,8300,375,80,10.900474,,1.26,46,69,False,0.0145000005,26300,70,OSL,NTS ASA,NTS ASA,Europe/Oslo,CEST,False,7200000,EQUITY,NTS.OL,finmb_49125655,no_market,,4.919,,0.1451,16.249,0.1311475,,6.33,,119272000,,,37.542,,,,1577750400,0.029240001,232440992,3.195,,,1.8379415,0.93716,1640908800,1585612800,,,33225408,7879535616,,1407888000,10:1,,,-0.624,,,,,,,,https://logo.clearbit.com/ntsasa.no,,,,,,da6d1bd3-2722-396e-b1c0-ae95d62aa10c,
